"","Species","Subspecies","TrueName","ShortName6","ShortName8","Sensitivity","Strata","Habitat","SimpleHab","SimpleStrata"
"241","Eriocnemis cupreoventris",NA,"Eriocnemis cupreoventris","ERICUP","ERIOCUPR","M?","?","F5,F4","F",NA
"242","Eriocnemis derbyi",NA,"Eriocnemis derbyi","ERIDER","ERIODERB","M","U/M","F15","F","U"
"243","Eriocnemis glaucopoides",NA,"Eriocnemis glaucopoides","ERIGLA","ERIOGLAU","M","U","F15,F4","F","U"
"244","Eriocnemis godini",NA,"Eriocnemis godini","ERIGOD","ERIOGODI","M","?","F4","F",NA
"245","Eriocnemis luciani",NA,"Eriocnemis luciani","ERILUC","ERIOLUCI","M","U/M","F4,F5","F","U"
"246","Eriocnemis mirabilis",NA,"Eriocnemis mirabilis","ERIMIR","ERIOMIRA","M","U","F4,F15","F","U"
"247","Eriocnemis mosquera",NA,"Eriocnemis mosquera","ERIMOS","ERIOMOSQ","M","U","F5,F4","F","U"
"248","Eriocnemis nigrivestis",NA,"Eriocnemis nigrivestis","ERINIG","ERIONIGR","M","?","F5,F4","F","U"
"249","Eriocnemis vestitus",NA,"Eriocnemis vestita","ERIVES","ERIOVEST","M","?","F5,F15?","F","U"
"250","Haplophaedia aureliae",NA,"Haplophaedia aureliae","HAPAUR","HAPLAURE","M","U","F4,F15","F","U"
"251","Haplophaedia lugens",NA,"Haplophaedia lugens","HAPLUG","HAPLLUGE","H","U","F4","F","U"
"252","Ocreatus underwoodii",NA,"Ocreatus underwoodii","OCRUND","OCREUNDE","L","U","F4,F15","F","U"
"253","Lesbia nuna",NA,"Lesbia nuna","LESNUN","LESBNUNA","L","U/C","N3,N14,F15","N","C"
"254","Lesbia victoriae",NA,"Lesbia victoriae","LESVIC","LESBVICT","L","U/C","N3,N14,F15,F6","N","C"
"255","Sappho sparganura",NA,"Sappho sparganura","SAPSPA","SAPPSPAR","L","U/C","N2","N","C"
"256","Polyonymus caroli",NA,"Polyonymus caroli","POLCAR","POLYCARO","L","U/C","N2","N","C"
"257","Ramphomicron dorsale",NA,"Ramphomicron dorsale","RAMDOR","RAMPDORS","M","U/C","F4,F5,N10","N","C"
"258","Ramphomicron microrhynchum",NA,"Ramphomicron microrhynchum","RAMMIC","RAMPMICR","M","M/C","F4,F5","F","C"
"259","Metallura aeneocauda",NA,"Metallura aeneocauda","METAEN","METAAENE","M","U/C","F5","F",NA
"260","Metallura baroni",NA,"Metallura baroni","METBAR","METABARO","M","U/C","F5,F6,N3","N","C"
"261","Metallura eupogon",NA,"Metallura eupogon","METEUP","METAEUPO","M","U/C","F5","F",NA
"262","Metallura iracunda",NA,"Metallura iracunda","METIRA","METAIRAC","M","U/C","F5","F",NA
"263","Metallura odomae",NA,"Metallura odomae","METODO","METAODOM","M","U/C","F5","F",NA
"264","Metallura phoebe",NA,"Metallura phoebe","METPHO","METAPHOE","L","T/U","N2,F6","N","U"
"265","Metallura theresiae",NA,"Metallura theresiae","METTHE","METATHER","M","U/C","F5","F",NA
"266","Metallura tyrianthina",NA,"Metallura tyrianthina","METTYR","METATYRI","L","U/M","F5,F4,F15","F","U"
"267","Metallura williami",NA,"Metallura williami","METWIL","METAWILL","M","U/C","F5,N10","N","C"
"268","Chalcostigma herrani",NA,"Chalcostigma herrani","CHAHER","CHALHERR","M","U/C","N10","N","C"
"269","Chalcostigma heteropogon",NA,"Chalcostigma heteropogon","CHAHET","CHALHETE","M","U/C","N10","N","C"
"270","Chalcostigma olivaceum",NA,"Chalcostigma olivaceum","CHAOLI","CHALOLIV","L","U/C","N9,N10","N","C"
"271","Chalcostigma ruficeps",NA,"Chalcostigma ruficeps","CHARUF","CHALRUFI","L","U/M","F4,F15","F","U"
"272","Chalcostigma stanleyi",NA,"Chalcostigma stanleyi","CHASTA","CHALSTAN","M","U/C","N10,F6","N","C"
"273","Oxypogon guerinii",NA,"Oxypogon guerinii","OXYGUE","OXYPGUER","M?","T/U","N10","N","U"
"274","Opisthoprora euryptera",NA,"Opisthoprora euryptera","OPIEUR","OPISEURY","H","U","F5,F4","F","U"
"275","Taphrolesbia griseiventris",NA,"Taphrolesbia griseiventris","TAPGRI","TAPHGRIS","L","U","N2","N","U"
"276","Aglaiocercus coelestis",NA,"Aglaiocercus coelestis","AGLCOE","AGLACOEL","M","M/C","F4","F","C"
"277","Aglaiocercus kingi",NA,"Aglaiocercus kingi","AGLKIN","AGLAKING","M","M/C","F4","F","C"
"278","Oreonympha nobilis",NA,"Oreonympha nobilis","ORENOB","OREONOBI","L","U/M","N2","N","U"
"279","Augastes lumachellus",NA,"Augastes lumachella","AUGLUM","AUGALUMA","M","U/M","N2","N","U"
"280","Augastes scutatus",NA,"Augastes scutatus","AUGSCU","AUGASCUT","M","U/C","N2","N","C"
"281","Schistes geoffroyi",NA,"Schistes geoffroyi","SCHGEO","SCHIGEOF","M","U","F4","F","U"
"282","Heliothryx aurita",NA,"Heliothryx auritus","HELAUR","HELIAURI","M","M/C","F1","F","C"
"283","Heliothryx barroti",NA,"Heliothryx barroti","HELBAR","HELIBARR","M","M/C","F1,F15","F","C"
"284","Heliactin bilophum",NA,"Heliactin bilophus","HELBIL","HELIBILO","M","U/M","N5,N4","N","U"
"285","Loddigesia mirabilis",NA,"Loddigesia mirabilis","LODMIR","LODDMIRA","M","U","N3,F4E","N","U"
"286","Heliomaster constantii",NA,"Heliomaster constantii","HELCON","HELICONS","M","C","F7,F8,N1","N","C"
"287","Heliomaster furcifer",NA,"Heliomaster furcifer","HELFUR","HELIFURC","M","C","F8,F3,N4,F7","N","C"
"288","Heliomaster longirostris",NA,"Heliomaster longirostris","HELLON","HELILONG","M","C","F1E,F7,F8,F15","F","C"
"289","Heliomaster squamosus",NA,"Heliomaster squamosus","HELSQU","HELISQUA","M","C","F8,F1E,F15,F7","F","C"
"290","Rhodopis vesper",NA,"Rhodopis vesper","RHOVES","RHODVESP","M","U/C","N1,N2,N11","N","C"
"291","Thaumastura cora",NA,"Thaumastura cora","THACOR","THAUCORA","L","U/C","N1,N2,N11,N14","N","C"
"292","Philodice bryantae",NA,"Calliphlox idaliae","CALBRY","CALLBRYA","M","U/C","F4E,F15,N14","N","C"
"293","Philodice evelynae",NA,"Calliphlox evelynae","CALEVE","CALLEVEL","L","U/C","F15,N14,F1E,N1","N","C"
"294","Philodice mitchellii",NA,"Calliphlox mitchellii","CALMIT","CALLMITC","L?","U/C","F4,N14?","N","C"
"295","Doricha eliza",NA,"Doricha eliza","DORELI","DORIELIZ","L","U/C","N1","N","C"
"296","Doricha enicura",NA,"Doricha enicura","DORENI","DORIENIC","L","U/C","F4E,N14","N","C"
"297","Tilmatura dupontii",NA,"Tilmatura dupontii","TILDUP","TILMDUPO","M","U/C","F11,F4E,N14","N","C"
"298","Microstilbon burmeisteri",NA,"Microstilbon burmeisteri","MICBUR","MICRBURM","M","?","F7,N2","N",NA
"299","Calothorax lucifer",NA,"Calothorax lucifer","CALLUC","CALOLUCI","M","U/C","N2,F11?","N","C"
"300","Calothorax pulcher",NA,"Calothorax pulcher","CALPUL","CALOPULC","M","U/C","N2","N","C"
"301","Archilocus alexandri",NA,"Archilochus alexandri","ARCALE","ARCHALEX","L","U/C","F8,N1,N2,N14","N","C"
"302","Calliphlox amesthytina",NA,"Calliphlox amethystina","CALAME","CALLAMES","L","U/C","F1E,F4E","F","C"
"303","Mellisuga minima",NA,"Mellisuga minima","MELMIN","MELLMINI","L","U/C","N14,F1E","N","C"
"304","Calypte anna",NA,"Calypte anna","CALANN","CALYANNA","L","U/C","F8,N14","N","C"
"305","Calpyte costae",NA,"Calypte costae","CALCOS","CALPCOST","M","U/C","N1,N2","N","C"
"306","Calypte helenae",NA,"Calypte anna","CALHEL","CALYHELE","L","U/C","N14,F4E,F10E,F1E,F15","N","C"
"307","Stellula calliope",NA,"Stellula calliope","STECAL","STELCALL","M","U/C","F10,F10","F",NA
"308","Atthis ellioti",NA,"Atthis ellioti","ATTELL","ATTHELLI","M","U/C","F11,F4E,N14","N","C"
"309","Atthias heloisa",NA,"Atthis heloisa","ATTHEL","ATTHHELO","M","U/C","F11,F4E","F",NA
"310","Myrtis fanny",NA,"Myrtis fanny","MYRFAN","MYRTFANN","M","U/C","N2,N11,N14","N","C"
"311","Eulidia yarrellii",NA,"Eulidia yarrellii","EULYAR","EULIYARR","M","U/C","N11,N14","N","C"
"312","Myrmia micrura",NA,"Myrmia micrura","MYRMIC","MYRMMICR","M","U/C","N1","N","C"
"313","Acestrura berlepschi",NA,"Aglaiocercus berlepschi","AGLBER","AGLABERL","?","C","F1E?","F","C"
"314","Acestrura bombus",NA,"Chaetocercus bombus","CHABOM","CHAEBOMB","?","M/C","F4E,F1E,F7?","F","C"
"315","Acestrura heliodor",NA,"Chaetocercus heliodor","CHAHEL","CHAEHELI","M","U/C","F4,F15","F",NA
"316","Acestrura mulsant",NA,"Chaetocercus mulsant","CHAMUL","CHAEMULS","M","U/C","F4E,F15","F","U"
"317","Chaetocercus jourdanii",NA,"Chaetocercus jourdanii","CHAJOU","CHAEJOUR","M","U/C","F4,F15","F",NA
"318","Selasphorus ardens",NA,"Selasphorus ardens","SELARD","SELAARDE","M","U/C","N14,F4E,F15","N","C"
"319","Selasphorus flammula",NA,"Selasphorus flammula","SELFLA","SELAFLAM","L","U/C","N10,N14,F4E,F15","N","C"
"320","Selasphorus platycercus",NA,"Selasphorus platycercus","SELPLA","SELAPLAT","M","U/C","F11,F10,N14","N","C"
"321","Selasphorus scintilla",NA,"Selasphorus scintilla","SELSCI","SELASCIN","M","U/C","N14,F4E,F15","N","C"
"322","Chlorostilbon melanorhynchus",NA,"Chlorostilbon melanorhynchus","CHLMEL","CHLOMELA","L","U/M","F4E,F15,F1E,N14,F8","N","U"
"323","Archilochus colubris",NA,"Archilochus colubris","ARCCOL","ARCHCOLU","L","U/C","F8,N1,N2,N14","N","C"
"324","Schistes albogularis",NA,"Schistes albogularis","SCHALB","SCHIALBO","M","U","F4","F","U"
"325","Phaethornis atrimentalis",NA,"Phaethornis atrimentalis","PHAATR","PHAEATRI",NA,NA,NA,"F","U"
"326","Phaethornis longirostris",NA,"Phaethornis longirostris","PHALON","PHAELONG",NA,NA,NA,"F","U"
"327","Thalurania fannyi",NA,"Thalurania fannyi","THAFAN","THALFANN",NA,NA,NA,"F","U"
